Name,Category,Phone,City,State,License Number,Why Kept
"FINISHLINE AUTO SPORTS, INC",Wholesale Motor Vehicle Dealer,(918) 497-6404,CLAREMORE,OK,10701,State-licensed wholesale dealer - Sep 13 push
"FIVE STAR AUTO SALES, LLC",Wholesale Motor Vehicle Dealer,(918) 357-9645,BROKEN ARROW,OK,10564,State-licensed wholesale dealer - Sep 13 push
FLOORPLAN XPRESS AUTOS,Wholesale Motor Vehicle Dealer,(405) 605-2135,OKLAHOMA CITY,OK,10498,State-licensed wholesale dealer - Sep 13 push
"GAB MOTORS, LLC",Wholesale Motor Vehicle Dealer,(918) 645-9066,BIXBY,OK,10585,State-licensed wholesale dealer - Sep 13 push
"GENERAL MOTORS, LLC",Wholesale Motor Vehicle Dealer,(313) 665-1603,OKLAHOMA CITY,OK,10250,State-licensed wholesale dealer - Sep 13 push
"GERALD VAUGHN AUTO SALES, INC.",Wholesale Motor Vehicle Dealer,(405)390-2171,EDMOND,OK,10183,State-licensed wholesale dealer - Sep 13 push
"GLOBAL AUTO SALES, LLC",Wholesale Motor Vehicle Dealer,(832) 797-7887,OKLAHOMA CITY,OK,10691,State-licensed wholesale dealer - Sep 13 push
GMAC,Wholesale Motor Vehicle Dealer,(405) 947-2886,OKLAHOMA CITY,OK,10235,State-licensed wholesale dealer - Sep 13 push
GOOD BUY TRUCK,Wholesale Motor Vehicle Dealer,(918) 553-2070,OOLOGAH,OK,10501,State-licensed wholesale dealer - Sep 13 push
GUTHRIE AUTO TRUST,Wholesale Motor Vehicle Dealer,(405) 282-3600,EDMOND,OK,10292,State-licensed wholesale dealer - Sep 13 push
"HI-HAT MOTOR SALES, LLC",Wholesale Motor Vehicle Dealer,(918) 639-4007,TULSA,OK,10587,State-licensed wholesale dealer - Sep 13 push
IDEAL TOUCH MOTORS,Wholesale Motor Vehicle Dealer,(918) 851-0725,TULSA,OK,10727,State-licensed wholesale dealer - Sep 13 push
IN & OUT USED CARS,Wholesale Motor Vehicle Dealer,(405) 826-4899,OKLAHOMA CITY,OK,10635,State-licensed wholesale dealer - Sep 13 push
J. S. WHOLESALE AUTOS,Wholesale Motor Vehicle Dealer,(918) 245-2111,SAND SPRINGS,OK,10149,State-licensed wholesale dealer - Sep 13 push
JOHN CULBERTSON TRUCK SALES,Wholesale Motor Vehicle Dealer,(405) 455-2630,OKLAHOMA CITY,OK,10484,State-licensed wholesale dealer - Sep 13 push
"L.A. AUTO SALES, INC",Wholesale Motor Vehicle Dealer,(405) 826-5021,NEWCASTLE,OK,10715,State-licensed wholesale dealer - Sep 13 push
LANDRETH AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 642-5335,SHAWNEE,OK,10735,State-licensed wholesale dealer - Sep 13 push
"LET'S ROLL AUTO SALES, LLC",Wholesale Motor Vehicle Dealer,(405) 249-3770,OKLAHOMA CITY,OK,10423,State-licensed wholesale dealer - Sep 13 push
MDM WHOLESALE AUTOS,Wholesale Motor Vehicle Dealer,(580) 658-9001,MARLOW,OK,10660,State-licensed wholesale dealer - Sep 13 push
MERCURY AUTO REMARKETING,Wholesale Motor Vehicle Dealer,(405) 844-0770,EDMOND,OK,10614,State-licensed wholesale dealer - Sep 13 push
MONEY TALKS AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 496-9972,OKLAHOMA CITY,OK,10726,State-licensed wholesale dealer - Sep 13 push
"MWC SPORTS & IMPORTS, INC",Wholesale Motor Vehicle Dealer,(405) 590-1001,EDMOND,OK,10418,State-licensed wholesale dealer - Sep 13 push
"NATIONWIDE PREMIUM AUTO WHLS, LLC",Wholesale Motor Vehicle Dealer,(405) 395-0115,SHAWNEE,OK,10723,State-licensed wholesale dealer - Sep 13 push
NEW KRUTOWN AUTO SALES,Wholesale Motor Vehicle Dealer,(918) 582-1029,TULSA,OK,10590,State-licensed wholesale dealer - Sep 13 push
"NOE BROTHERS AUTO SALES, LLC",Wholesale Motor Vehicle Dealer,(918) 794-8441,TULSA,OK,10694,State-licensed wholesale dealer - Sep 13 push
NOON MOTORS,Wholesale Motor Vehicle Dealer,(405) 810-5027,EDMOND,OK,10654,State-licensed wholesale dealer - Sep 13 push
NWN MOTORS,Wholesale Motor Vehicle Dealer,(918) 894-6955,TULSA,OK,10699,State-licensed wholesale dealer - Sep 13 push
OKC VEHICLE WHOLESALE,Wholesale Motor Vehicle Dealer,(405) 605-3775,OKLAHOMA CITY,OK,10695,State-licensed wholesale dealer - Sep 13 push
PARIS AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 408-9000,OKLAHOMA CITY,OK,10550,State-licensed wholesale dealer - Sep 13 push
"PAT OLIVER AUTOS, INC.",Wholesale Motor Vehicle Dealer,(405) 755-4222,OKLAHOMA CITY,OK,10711,State-licensed wholesale dealer - Sep 13 push
"RAPID AUTO SALES, LLC",Wholesale Motor Vehicle Dealer,(918) 872-9737,BROKEN ARROW,OK,10731,State-licensed wholesale dealer - Sep 13 push
"RDT AUTO WHOLESALE, LLC",Wholesale Motor Vehicle Dealer,(918) 341-3228,CLAREMORE,OK,10697,State-licensed wholesale dealer - Sep 13 push
RED FORK MOTOR CO.,Wholesale Motor Vehicle Dealer,(918) 637-5349,TULSA,OK,10528,State-licensed wholesale dealer - Sep 13 push
REGION AUTO REMARKETING,Wholesale Motor Vehicle Dealer,(405) 255-4993,OKLAHOMA CITY,OK,10642,State-licensed wholesale dealer - Sep 13 push
"REMINGTON AUTO, LLC",Wholesale Motor Vehicle Dealer,(405) 310-3565,NORMAN,OK,10641,State-licensed wholesale dealer - Sep 13 push
"RESULTS, INC. AUTOS",Wholesale Motor Vehicle Dealer,(405) 701-5100,NORMAN,OK,10591,State-licensed wholesale dealer - Sep 13 push
RICHARD LAWLER MOTOR COMPANY,Wholesale Motor Vehicle Dealer,(918)745-0141,TULSA,OK,10054,State-licensed wholesale dealer - Sep 13 push
RICK JONES AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 491-0404,WARR ACRES,OK,10717,State-licensed wholesale dealer - Sep 13 push
"ROB'S RODS WHOLESALE AUTOS, LLC",Wholesale Motor Vehicle Dealer,(405) 321-7119,NORMAN,OK,10398,State-licensed wholesale dealer - Sep 13 push
"SAAD CAR SALES, LLC",Wholesale Motor Vehicle Dealer,(918) 366-3790,BIXBY,OK,10527,State-licensed wholesale dealer - Sep 13 push
"SAED ARABYAT CARS, LC",Wholesale Motor Vehicle Dealer,(405) 625-1000,OKLAHOMA CITY,OK,10730,State-licensed wholesale dealer - Sep 13 push
SAFEWAY AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 367-7455,OKLAHOMA CITY,OK,10729,State-licensed wholesale dealer - Sep 13 push
SALLISAW AUTO BROKERS,Wholesale Motor Vehicle Dealer,(918) 776-7312,SALLISAW,OK,10560,State-licensed wholesale dealer - Sep 13 push
SEMI USED INC.,Wholesale Motor Vehicle Dealer,(918) 435-5127,EUCHA,OK,10622,State-licensed wholesale dealer - Sep 13 push
"SIGMA MOTORS, INC.",Wholesale Motor Vehicle Dealer,(405) 537-8280,OKLAHOMA CITY,OK,10012,State-licensed wholesale dealer - Sep 13 push
SIGNATURE AUTO WHOLESALE,Wholesale Motor Vehicle Dealer,(918) 357-9466,BROKEN ARROW,OK,10718,State-licensed wholesale dealer - Sep 13 push
STALLINGS WHOLESALE VEHICLES,Wholesale Motor Vehicle Dealer,(405) 485-9457,BLANCHARD,OK,10161,State-licensed wholesale dealer - Sep 13 push
SUNRISE AUTO ACCEPTANCE,Wholesale Motor Vehicle Dealer,(405) 691-1423,OKLAHOMA CITY,OK,10581,State-licensed wholesale dealer - Sep 13 push
TAC AUTO SOLUTIONS,Wholesale Motor Vehicle Dealer,(918) 510-0081,BROKEN ARROW,OK,10713,State-licensed wholesale dealer - Sep 13 push
"THE HUDSON COMPANY AUTO BROKERS,LLC",Wholesale Motor Vehicle Dealer,(405) 286-2388,OKLAHOMA CITY,OK,10457,State-licensed wholesale dealer - Sep 13 push
TOYS FOR BIG BOYS MOTORS,Wholesale Motor Vehicle Dealer,(405) 605-2514,OKLAHOMA CITY,OK,10693,State-licensed wholesale dealer - Sep 13 push
UNIVERSITY AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 360-0707,NORMAN,OK,10561,State-licensed wholesale dealer - Sep 13 push
VALUE MOTORS,Wholesale Motor Vehicle Dealer,(405) 632-3355,OKLAHOMA CITY,OK,10671,State-licensed wholesale dealer - Sep 13 push
WARD'S WHOLESALE AUTOS,Wholesale Motor Vehicle Dealer,(405) 753-6129,EDMOND,OK,10732,State-licensed wholesale dealer - Sep 13 push
"WP MOTOR COMPANY, LLC",Wholesale Motor Vehicle Dealer,(405) 630-9889,WHEATLAND,OK,10728,State-licensed wholesale dealer - Sep 13 push
Y2K AUTO FINDERS,Wholesale Motor Vehicle Dealer,(405) 659-1271,EDMOND,OK,10390,State-licensed wholesale dealer - Sep 13 push
