Name,Category,Phone,City,State,License Number,Why Kept
"DDR Wholesale LLC","Motor Vehicle Dealer (wholesale name match)","(208) 415-1988","Dalton Gardens","ID","7067-0","State-licensed dealer - Sep 13 push"
"Double B Auto Wholesalers Unlimited","Motor Vehicle Dealer (wholesale name match)","208-731-4660","Twin Falls","ID","7114-0","State-licensed dealer - Sep 13 push"
"Group Wholesale Inc","Motor Vehicle Dealer (wholesale name match)","208-457-3480","Post Falls","ID","4259-0","State-licensed dealer - Sep 13 push"
"Huntsman Wholesale LLC","Motor Vehicle Dealer (wholesale name match)","208-284-8871","Melba","ID","1329-0","State-licensed dealer - Sep 13 push"
"Iron Creek Wholesale LLC","Motor Vehicle Dealer (wholesale name match)","208-505-6644","Nampa","ID","4380-0","State-licensed dealer - Sep 13 push"
"Lake City Wholesale LLC","Motor Vehicle Dealer (wholesale name match)","208-676-0187","Coeur d'Alene","ID","4050-0","State-licensed dealer - Sep 13 push"
"Northwest Wholesale LLC","Motor Vehicle Dealer (wholesale name match)","(208) 223-5506","Pocatello","ID","7056-0","State-licensed dealer - Sep 13 push"
"On Pointe Wholesale LLC","Motor Vehicle Dealer (wholesale name match)","208-699-7727","Coeur d'Alene","ID","4078-0","State-licensed dealer - Sep 13 push"
"Rocky Mountain Wholesale Auto LLC","Motor Vehicle Dealer (wholesale name match)","208-466-1402","Nampa","ID","4956-0","State-licensed dealer - Sep 13 push"
"Auto Wholesalers","Motor Vehicle Dealer (wholesale name match)","","Bettendorf","IA","D6641","State-licensed dealer - Sep 13 push"
"Auto Wholesalers Inc","Motor Vehicle Dealer (wholesale name match)","","Dubuque","IA","D554","State-licensed dealer - Sep 13 push"
"Bobs Wholesale Cars","Motor Vehicle Dealer (wholesale name match)","","Cedar Rapids","IA","D4957","State-licensed dealer - Sep 13 push"
"Bob's Wholesale Cars","Motor Vehicle Dealer (wholesale name match)","","Cedar Rapids","IA","D3132","State-licensed dealer - Sep 13 push"
"Diamond Wholesale Auto","Motor Vehicle Dealer (wholesale name match)","","West Des Moines","IA","D443","State-licensed dealer - Sep 13 push"
"Prowell's Wholesale Automotive LLC","Motor Vehicle Dealer (wholesale name match)","","Des Moines","IA","D3560","State-licensed dealer - Sep 13 push"
"Southern Iowa Wholesale Inc","Motor Vehicle Dealer (wholesale name match)","","Leon","IA","D1303","State-licensed dealer - Sep 13 push"
"Southwest Wholesale RV Inc","Motor Vehicle Dealer (wholesale name match)","","Sheldon","IA","D2030","State-licensed dealer - Sep 13 push"
"TBK Wholesale","Motor Vehicle Dealer (wholesale name match)","","Des Moines","IA","D3116","State-licensed dealer - Sep 13 push"
"NE Wholesale","Motor Vehicle Dealer (wholesale name match)","207-855-3847","Oakland","ME","","State-licensed dealer - Sep 13 push"
"Wholesale Auto of Biddeford, LLC","Motor Vehicle Dealer (wholesale name match)","207-283-3798","Biddeford","ME","","State-licensed dealer - Sep 13 push"
"Wholesale Motors LLC","Motor Vehicle Dealer (wholesale name match)","207-712-4535","Presque Isle","ME","","State-licensed dealer - Sep 13 push"
"TWO RIVERS WHOLESALE CENTER","Motor Vehicle Dealer (wholesale name match)","","Nashville","TN","18185","State-licensed dealer - Sep 13 push"
"TRAVELERS WHOLESALE TRAILER SALES","Motor Vehicle Dealer (wholesale name match)","","Manchester","TN","122","State-licensed dealer - Sep 13 push"
"WHOLESALE AUTO OUTLET","Motor Vehicle Dealer (wholesale name match)","","Harriman","TN","19167","State-licensed dealer - Sep 13 push"
"CARS WHOLESALE","Motor Vehicle Dealer (wholesale name match)","","Johnson City","TN","21115","State-licensed dealer - Sep 13 push"
"FIRST CHOICE AUTO SALES WHOLESALE INC.","Motor Vehicle Dealer (wholesale name match)","","Gallatin","TN","10451","State-licensed dealer - Sep 13 push"
"WHOLESALE CARS","Motor Vehicle Dealer (wholesale name match)","","Gray","TN","19749","State-licensed dealer - Sep 13 push"
"WHOLESALE AUTO DEALERS OF MEMPHIS LLC","Motor Vehicle Dealer (wholesale name match)","","Memphis","TN","19400","State-licensed dealer - Sep 13 push"
"WHOLESALE AUTO, INC.","Motor Vehicle Dealer (wholesale name match)","","Athens","TN","3436","State-licensed dealer - Sep 13 push"
"AUTO DEPOT WHOLESALE INC","Motor Vehicle Dealer (wholesale name match)","","Madison","TN","22447","State-licensed dealer - Sep 13 push"
"HOSEA WHOLESALE LLC","Motor Vehicle Dealer (wholesale name match)","","Savannah","TN","20428","State-licensed dealer - Sep 13 push"
"HIGHLINE WHOLESALE","Motor Vehicle Dealer (wholesale name match)","","Dickson","TN","22171","State-licensed dealer - Sep 13 push"
"GOWEN WHOLESALE AUTO","Motor Vehicle Dealer (wholesale name match)","","Lawrenceburg","TN","14125","State-licensed dealer - Sep 13 push"
"ANCHORAGE CHRYSLER CENTER, INC","Motor Vehicle Dealer (general)","","Anchorage","AK","22","State-licensed dealer - Sep 13 push"
"CONTINENTAL MOTOR COMPANY INC","Motor Vehicle Dealer (general)","","Anchorage","AK","33","State-licensed dealer - Sep 13 push"
"SEEKINS FORD LINCOLN, INC","Motor Vehicle Dealer (general)","","Fairbanks","AK","50","State-licensed dealer - Sep 13 push"
"ANCHORAGE MOTORS","Motor Vehicle Dealer (general)","","Anchorage","AK","60","State-licensed dealer - Sep 13 push"
"YUKON EQUIPMENT INC","Motor Vehicle Dealer (general)","","Anchorage","AK","61","State-licensed dealer - Sep 13 push"
"GENE'S, INC","Motor Vehicle Dealer (general)","","Fairbanks","AK","91","State-licensed dealer - Sep 13 push"
"ALASKA CAR RENTAL","Motor Vehicle Dealer (general)","","Ketchikan","AK","95","State-licensed dealer - Sep 13 push"
"KENWORTH ALASKA","Motor Vehicle Dealer (general)","","Anchorage","AK","120","State-licensed dealer - Sep 13 push"
"ALASKA RENT-A-CAR INC","Motor Vehicle Dealer (general)","","Anchorage","AK","159","State-licensed dealer - Sep 13 push"
"DEWEY'S COOK INLET, INC","Motor Vehicle Dealer (general)","","Anchorage","AK","176","State-licensed dealer - Sep 13 push"
"ALASKA MINING & DIVING SUPPLY INC","Motor Vehicle Dealer (general)","","Anchorage","AK","480","State-licensed dealer - Sep 13 push"
"HOUSE OF HARLEY-DAVIDSON","Motor Vehicle Dealer (general)","","Anchorage","AK","505","State-licensed dealer - Sep 13 push"
"1049 Diesel Truck Sales, LLC","Motor Vehicle Dealer (general)","(270) 487-7974","Tompkinsville","KY","336926086","State-licensed dealer - Sep 13 push"
"1081 Auto Mart LLC","Motor Vehicle Dealer (general)","(606) 349-4286","Salyersville","KY","222826077","State-licensed dealer - Sep 13 push"
"1366 Auto Sales LLC","Motor Vehicle Dealer (general)","(270) 457-3829","Tompkinsville","KY","590326086","State-licensed dealer - Sep 13 push"
"150 Auto Sales","Motor Vehicle Dealer (general)","(606) 365-1384","Stanford","KY","37326069","State-licensed dealer - Sep 13 push"
"1590 Auto Sales, LLC","Motor Vehicle Dealer (general)","(606) 387-4210","Albany","KY","60626027","State-licensed dealer - Sep 13 push"
"1st Choice Auto Sales LLC","Motor Vehicle Dealer (general)","(270) 790-2500","Bowling Green","KY","583726114","State-licensed dealer - Sep 13 push"
"23 Camper Sales LLC","Motor Vehicle Dealer (general)","(606) 673-4717","Ulysses","KY","526426064","State-licensed dealer - Sep 13 push"
"231 Auto Mart LLC","Motor Vehicle Dealer (general)","(270) 298-9573","Hartford","KY","28426092","State-licensed dealer - Sep 13 push"
"245 Auto LLC","Motor Vehicle Dealer (general)","(502) 353-1086","Lebanon","KY","522726078","State-licensed dealer - Sep 13 push"
"3 Brothers Auto Sale","Motor Vehicle Dealer (general)","(502) 749-9070","Louisville","KY","32426056","State-licensed dealer - Sep 13 push"
"300 Down Auto Sales","Motor Vehicle Dealer (general)","(270) 651-1313","Glasgow","KY","322626005","State-licensed dealer - Sep 13 push"
"319 Auto Sales","Motor Vehicle Dealer (general)","(606) 353-4423","Hardy","KY","184526098","State-licensed dealer - Sep 13 push"
"#2 Hauling Truck Sales & Service","Motor Vehicle Dealer (general)","(308) 338-9097","Kearney","NE","DL06965","State-licensed dealer - Sep 13 push"
"14 M Auto Sales","Motor Vehicle Dealer (general)","(402) 325-8450","Lincoln","NE","DL06996","State-licensed dealer - Sep 13 push"
"1st Class Auto","Motor Vehicle Dealer (general)","(402) 387-2420","Ainsworth","NE","DL06388","State-licensed dealer - Sep 13 push"
"2 Men Auto Sales","Motor Vehicle Dealer (general)","(402) 238-3330","Bennington","NE","DL05291","State-licensed dealer - Sep 13 push"
"22 Automotive","Motor Vehicle Dealer (general)","(402) 314-3094","Milford","NE","DL07224","State-licensed dealer - Sep 13 push"
"24 Auto Sales Inc","Motor Vehicle Dealer (general)","(402) 763-1676","Omaha","NE","DL06268","State-licensed dealer - Sep 13 push"
"3 Dynamics Auto Sales Inc","Motor Vehicle Dealer (general)","(402) 612-1640","Omaha","NE","DL07210","State-licensed dealer - Sep 13 push"
"3 Star Auto Sales","Motor Vehicle Dealer (general)","(402) 352-7912","Schuyler","NE","DL05560","State-licensed dealer - Sep 13 push"
"308 Auto Sales","Motor Vehicle Dealer (general)","(308) 675-3016","Grand Island","NE","DL06971","State-licensed dealer - Sep 13 push"
"402 Motors LLC","Motor Vehicle Dealer (general)","(402) 217-0562","Denton","NE","DL07442","State-licensed dealer - Sep 13 push"
"4th Street Auto Sales","Motor Vehicle Dealer (general)","(308) 381-4164","Grand Island","NE","DL05016","State-licensed dealer - Sep 13 push"
"5 Star Automotive LLC","Motor Vehicle Dealer (general)","(402) 367-5105","David City","NE","DL07447","State-licensed dealer - Sep 13 push"
"1st Stop Auto Sales","Motor Vehicle Dealer (general)","","Providence","RI","26","State-licensed dealer - Sep 13 push"
"Advanced Remarketing Services, Inc.","Motor Vehicle Dealer (general)","","Middletown","RI","152","State-licensed dealer - Sep 13 push"
"Automotive Collection Sales and Management LLC","Motor Vehicle Dealer (general)","","Oakland","RI","743","State-licensed dealer - Sep 13 push"
"Ryder Vehicle Sales, LLC","Motor Vehicle Dealer (general)","","Warwick","RI","427","State-licensed dealer - Sep 13 push"
"Enterprise Car Sales","Motor Vehicle Dealer (general)","","Warwick","RI","350","State-licensed dealer - Sep 13 push"
"AAA Car Buying Service","Motor Vehicle Dealer (general)","","Providence","RI","734","State-licensed dealer - Sep 13 push"
"CarMax","Motor Vehicle Dealer (general)","","Cranston","RI","169","State-licensed dealer - Sep 13 push"
"Commercial Motors, LLC","Motor Vehicle Dealer (general)","","North Providence","RI","507","State-licensed dealer - Sep 13 push"
"Rhode Island Truck & Equipment Corp.","Motor Vehicle Dealer (general)","","West Warwick","RI","344","State-licensed dealer - Sep 13 push"
"Copart","Motor Vehicle Auction (wholesale-to-dealers)","","Exeter","RI","36","State-licensed dealer - Sep 13 push"
"Insurance Auto Auctions","Motor Vehicle Auction (wholesale-to-dealers)","","East Providence","RI","341","State-licensed dealer - Sep 13 push"
"Partners Auto Auction RI","Motor Vehicle Auction (wholesale-to-dealers)","","Foster","RI","801","State-licensed dealer - Sep 13 push"
